Scheme Name,Eligibility,Details,Apply Link,Age,Gender,State,Occupation,Category
Pradhan Mantri Jan Dhan Yojana,Indian citizens,Financial inclusion program to ensure access to financial services,https://www.pmjdy.gov.in/apply,18+,All,All India,Any,All
Pradhan Mantri Ujjwala Yojana,Women from BPL households,Provides LPG connections to women from below poverty line households,https://pmuy.gov.in/,18+,Female,All India,Any,All
Pradhan Mantri Awas Yojana - Urban,Urban poor with annual income up to Rs. 3 lakh,Housing for All scheme to provide affordable housing to urban poor,https://pmaymis.gov.in/,18+,All,All India,Any,EWS/LIG/MIG
Pradhan Mantri Awas Yojana - Gramin,Rural households with kutcha houses,Housing scheme for rural population to provide pucca houses,https://pmayg.nic.in/,18+,All,All India,Any,All
Ayushman Bharat Pradhan Mantri Jan Arogya Yojana,Economically weaker sections,Health insurance coverage of Rs. 5 lakh per family per year,https://pmjay.gov.in/,All,All,All India,Any,Economically weaker sections
Pradhan Mantri Kisan Samman Nidhi,Small and marginal farmers with less than 2 hectares of land,Income support of Rs. 6000 per year in three equal installments,https://pmkisan.gov.in/,18+,All,All India,Farmer,All
National Social Assistance Program,Elderly persons/widows/disabled persons below poverty line,Social security scheme providing financial assistance to elderly/widows/disabled,https://nsap.nic.in/,60+ (elderly)/40+ (widows)/18+ (disabled),All,All India,Any,BPL
Sukanya Samriddhi Yojana,Girl child under 10 years,Small savings scheme for girl child education and marriage expenses,https://www.nsiindia.gov.in/InternalPage.aspx?Id_Pk=55,Below 10,Female,All India,Any,All
Atal Pension Yojana,Unorganized sector workers aged 18-40 years,Pension scheme for unorganized sector providing guaranteed pension between Rs. 1000-5000,https://www.npscra.nsdl.co.in/nsdl/scheme-details/apy,18-40,All,All India,Unorganized Sector,All
Pradhan Mantri Mudra Yojana,Small entrepreneurs,Provides loans up to Rs. 10 lakh for non-farm income generating activities,https://www.mudra.org.in/,18+,All,All India,Small Business Owner,All
Pradhan Mantri Suraksha Bima Yojana,Bank account holders aged 18-70,Accident insurance scheme offering coverage of Rs. 2 lakh,https://www.jansuraksha.gov.in/,18-70,All,All India,Any,All
Pradhan Mantri Jeevan Jyoti Bima Yojana,Bank account holders aged 18-50,Life insurance scheme providing coverage of Rs. 2 lakh,https://www.jansuraksha.gov.in/,18-50,All,All India,Any,All
Stand Up India,SC/ST/Women entrepreneurs,Loans between Rs. 10 lakh to Rs. 1 crore for setting up greenfield enterprises,https://www.standupmitra.in/,18+,All (focus on women),All India,Entrepreneur,SC/ST/Women
Pradhan Mantri Fasal Bima Yojana,Farmers,Crop insurance scheme to protect farmers from crop failure,https://pmfby.gov.in/,18+,All,All India,Farmer,All
Rashtriya Krishi Vikas Yojana,Farmers,Scheme to ensure holistic development of agriculture and allied sectors,https://rkvy.nic.in/,18+,All,All India,Farmer,All
National Livelihood Mission - Aajeevika,Rural poor,Poverty alleviation program focusing on promoting self-employment and organization of rural poor,https://aajeevika.gov.in/,18+,All (focus on women),All India,Any,Rural Poor
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Rural youth,Skill development program for rural youth,https://en.wikipedia.org/wiki/Deen_Dayal_Upadhyaya_Grameen_Kaushalya_Yojana,15-35,All,All India,Unemployed,Rural Youth
National Urban Livelihood Mission,Urban poor,Employment opportunities through skill training and subsidized loans,https://nulm.gov.in/,18+,All,All India,Urban Poor,All
Pradhan Mantri Kaushal Vikas Yojana,Youth seeking skill training,Skill development initiative for Indian youth,https://www.pmkvyofficial.org/,15-45,All,All India,Unemployed/Seeking Skills,All
Deen Dayal Antyodaya Yojana,Urban and rural poor,Poverty alleviation program,https://rural.nic.in/scheme/deen-dayal-antyodaya-yojana-day,18+,All,All India,Poor,All
Mid-Day Meal Scheme,School children up to class VIII,Nutritional support to primary education,https://mdm.nic.in/,Jun-14,All,All India,Student,All
Sarva Shiksha Abhiyan,Children aged 6-14 years,Universal access to quality elementary education,https://samagra.education.gov.in/,Jun-14,All,All India,Student,All
Rashtriya Madhyamik Shiksha Abhiyan,Secondary school students,Improve quality of secondary education,https://samagra.education.gov.in/,14-18,All,All India,Student,All
National Scholarship Portal Schemes,Students from minorities/SC/ST/OBC,Various scholarships for students from disadvantaged backgrounds,https://scholarships.gov.in/,Varies by scheme,All,All India,Student,SC/ST/OBC/Minorities
Digital India,All citizens,Transform India into a digitally empowered society and knowledge economy,https://digitalindia.gov.in/,All,All,All India,Any,All
Startup India,Entrepreneurs,Promote and support startups in the country,https://www.startupindia.gov.in/,18+,All,All India,Entrepreneur,All
Make in India,Manufacturers and industrialists,Initiative to encourage manufacturing in India,https://www.makeinindia.gov.in/,18+,All,All India,Manufacturer/Industrialist,All
Swachh Bharat Mission,All citizens,Cleanliness campaign to eliminate open defecation and improve solid waste management,https://swachhbharat.gov.in/,All,All,All India,Any,All
Smart Cities Mission,Urban local bodies,Transform cities into smart cities with essential infrastructure,https://smartcities.gov.in/,NA,NA,Selected Cities,NA,NA
Atal Mission for Rejuvenation and Urban Transformation,Urban local bodies,Provide basic services to households and build amenities in cities,https://amrut.gov.in/,NA,NA,Selected Cities,NA,NA
Beti Bachao Beti Padhao,Girl child and their families,Save and educate the girl child,https://betibachaobetipadhao.wcd.gov.in/,0-18,Female,All India,NA,All
Integrated Child Development Services,Children under 6 years and pregnant/lactating mothers,Provides food nutrition education health and pre-school education,https://icds-wcd.nic.in/,0-6 (children),Female (pregnant/lactating mothers),All India,NA,All
Rashtriya Bal Swasthya Karyakram,Children aged 0-18 years,Health screening and early intervention services for children,https://rbsk.gov.in/,0-18,All,All India,NA,All
National Rural Health Mission,Rural population,Provide accessible affordable and quality healthcare to rural population,https://nhm.gov.in/,All,All,Rural Areas,Any,All
